path,before_bytes,after_bytes,after_path,action
"Google x Freeletics/Bento/Day_2_rest_day_1_recipe.png",197245,197245,"Google x Freeletics/Bento/Day_2_rest_day_1_recipe.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_2_rest_day_1_recipe.png'
"Google x Freeletics/Bento/Day_8_rest_day_3_wallpapers.png",3081277,3081277,"Google x Freeletics/Bento/Day_8_rest_day_3_wallpapers.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_8_rest_day_3_wallpapers.png'
"VirginSport/playbook-07.jpg",38966,39279,"VirginSport/playbook-07.jpg",jpg-recoded
"VirginSport/playbook-01.jpg",45010,45389,"VirginSport/playbook-01.jpg",jpg-recoded
"VirginSport/playbook-02.jpg",58037,58518,"VirginSport/playbook-02.jpg",jpg-recoded
"VirginSport/playbook-04.jpg",69830,70353,"VirginSport/playbook-04.jpg",jpg-recoded
"VirginSport/playbook-03.jpg",41844,43539,"VirginSport/playbook-03.jpg",jpg-recoded
"Hero/Desktop/PelotonMichigan.jpg",1195620,94878,"Hero/Desktop/PelotonMichigan.jpg",jpg-resized-recoded
"Hero/Mobile/PelotonMichigan.jpg",545522,56701,"Hero/Mobile/PelotonMichigan.jpg",jpg-resized-recoded
"Hero/Desktop/Peloton B2B App.jpg",928535,107415,"Hero/Desktop/Peloton B2B App.jpg",jpg-resized-recoded
"Hero/Mobile/Peloton B2B App.jpg",571773,64153,"Hero/Mobile/Peloton B2B App.jpg",jpg-resized-recoded
"Hero/Desktop/WONE Desktop.jpg",2627709,265875,"Hero/Desktop/WONE Desktop.jpg",jpg-resized-recoded
"Hero/Mobile/WONE.jpg",1509967,118875,"Hero/Mobile/WONE.jpg",jpg-resized-recoded
